source_relative_path	repository_path	category	legacy_pre_git	size_bytes	sha256
filter_04_crystal_packing_influence/step_01_lattice_neighbor_search/java_src/src/main/java/org/benchmark/filter4/CrystalNeighborHit.java	pipeline/filter_04/step_01/java_src/src/main/java/org/benchmark/filter4/CrystalNeighborHit.java	source	false	406	8a1e50f0828602a57f2c479ecc10337946da708dd23df96dcf929cf2cf7943a9
filter_04_crystal_packing_influence/step_01_lattice_neighbor_search/java_src/src/main/java/org/benchmark/filter4/CrystalObjectBoundingBox.java	pipeline/filter_04/step_01/java_src/src/main/java/org/benchmark/filter4/CrystalObjectBoundingBox.java	source	false	2733	6de8e808fdb44bf31e94af2c5d1674c6343af076487a88e1e005da9e98c633df
filter_04_crystal_packing_influence/step_01_lattice_neighbor_search/java_src/src/main/java/org/benchmark/filter4/CrystalSearchTarget.java	pipeline/filter_04/step_01/java_src/src/main/java/org/benchmark/filter4/CrystalSearchTarget.java	source	false	2537	96c2d61449915e970288a1b28b6b101458a7ff7134395915766a733f41f901d8
filter_04_crystal_packing_influence/step_01_lattice_neighbor_search/java_src/src/main/java/org/benchmark/filter4/CrystalSourceObject.java	pipeline/filter_04/step_01/java_src/src/main/java/org/benchmark/filter4/CrystalSourceObject.java	source	false	1559	6e337b8e730f5daeba157ae47783f5a57abc81f4a71392b4a4c4ee9f5598a689
filter_04_crystal_packing_influence/step_01_lattice_neighbor_search/java_src/src/main/java/org/benchmark/filter4/LigandCrystalBuilder.java	pipeline/filter_04/step_01/java_src/src/main/java/org/benchmark/filter4/LigandCrystalBuilder.java	source	false	9646	e009ee0b292ce4bb398a7d1b9b24f76963726b6a971d209c65c81c1392806703
filter_04_crystal_packing_influence/step_01_lattice_neighbor_search/java_src/src/main/java/org/benchmark/filter4/Step1Runner.java	pipeline/filter_04/step_01/java_src/src/main/java/org/benchmark/filter4/Step1Runner.java	source	false	15484	798be7352c4a0a683053200038ea2e0d62c4310432a5024117fe1160947eb910
filter_04_crystal_packing_influence/step_01_lattice_neighbor_search/scripts/filter4_step1_pipeline.py	pipeline/filter_04/step_01/scripts/filter4_step1_pipeline.py	source	false	26168	6510b7d5aaf151d2c47fa39201d8fc41760bcb56725adc5f7882cbad7ab216d7
filter_04_crystal_packing_influence/step_01_lattice_neighbor_search/scripts/run_filter4_step1_full.sh	pipeline/filter_04/step_01/scripts/run_filter4_step1_full.sh	source	false	704	38ad595f3ec037e8b106f9c5a5d5f9aab63d0390d9a3d9abfd6e695569cf5d8d
filter_04_crystal_packing_influence/step_01_lattice_neighbor_search/scripts/run_filter4_step1_pilot.sh	pipeline/filter_04/step_01/scripts/run_filter4_step1_pilot.sh	source	false	485	b907ac769fb65c91eabf920eb100a14c22d9cd1abeeb5aa28c2d107e4bea9da6
filter_04_crystal_packing_influence/step_02_biological_assembly_equivalence/config/filter4_step2_exploratory.yaml	pipeline/filter_04/step_02/config/filter4_step2_exploratory.yaml	config_or_documentation	false	1038	a9b2fdb1ef8a32b33af8b95d3a1a6ab02674b04b168c9c121a14121393fc6503
filter_04_crystal_packing_influence/step_02_biological_assembly_equivalence/config/filter4_step2_v1.yaml	pipeline/filter_04/step_02/config/filter4_step2_v1.yaml	config_or_documentation	false	1543	6524529012ea849ccb44daa7fee99acfe423ce36b3e407308f6240ed13315f4a
filter_04_crystal_packing_influence/step_02_biological_assembly_equivalence/scripts/filter4_step2_pipeline.py	pipeline/filter_04/step_02/scripts/filter4_step2_pipeline.py	source	false	40874	385a1f5e024aeb77a5374cca7cfe9414976f3a9c7fe1fff59190de661e18171e
filter_04_crystal_packing_influence/step_02_biological_assembly_equivalence/scripts/run_filter4_step2_full.sh	pipeline/filter_04/step_02/scripts/run_filter4_step2_full.sh	source	false	492	f39f006fb4cdff1a5439f1fda950c574b52c16dba1ac8708c1e10ba2da3a90c8
filter_04_crystal_packing_influence/step_03_direct_ligand_crystal_contact/config/filter4_step3_v1.yaml	pipeline/filter_04/step_03/config/filter4_step3_v1.yaml	config_or_documentation	false	1083	6bbf66158bdb27e54964109ec53dda9ea328fed0c4ce0d1caaf0026eea5bfe3e
filter_04_crystal_packing_influence/step_03_direct_ligand_crystal_contact/scripts/filter4_step3_pipeline.py	pipeline/filter_04/step_03/scripts/filter4_step3_pipeline.py	source	false	40761	35d3494514fb6cc95ad2829501ff169635c756bafe0c4b1ef34939d7808016e4
filter_04_crystal_packing_influence/step_03_direct_ligand_crystal_contact/scripts/run_filter4_step3_full.sh	pipeline/filter_04/step_03/scripts/run_filter4_step3_full.sh	source	false	486	ac32d11c44299d8f028ec360e6c44369a6c46fe9e8321aaf49e04f40515adbd1
filter_04_crystal_packing_influence/step_04_binding_residue_mediated_crystal_contact/config/filter4_step4_v1.yaml	pipeline/filter_04/step_04/config/filter4_step4_v1.yaml	config_or_documentation	false	1350	e7365ff7310d6633b82f930ed231820cec89086e6e6f9df9e60288ff40568d0f
filter_04_crystal_packing_influence/step_04_binding_residue_mediated_crystal_contact/scripts/filter4_step4_pipeline.py	pipeline/filter_04/step_04/scripts/filter4_step4_pipeline.py	source	false	55204	5a98a512cef5204ca279c6ba09483e6ec719675c25aed10b83ddd98045a670f9
filter_04_crystal_packing_influence/step_05_final_crystal_packing_decision/config/filter4_step5_v1.yaml	pipeline/filter_04/step_05/config/filter4_step5_v1.yaml	config_or_documentation	false	900	423ccba981022128d27813cdab6422326ac500049fdaf4fdeaa1c4ffa43b1711
filter_04_crystal_packing_influence/step_05_final_crystal_packing_decision/scripts/filter4_step5_release.py	pipeline/filter_04/step_05/scripts/filter4_step5_release.py	source	false	24236	c0d0ffdd285f9bbc3af98c84d7f2c823169287c302f0c6e40aa2ce7d32c09e4f
processing_1_pdb_source_audit/README.md	pipeline/processing_01/README.md	documentation	false	503	48a64c0d69bcdd2e531bb488dff58be247db53c9528ac90ff7e514dfe302240f
processing_1_pdb_source_audit/configs/pdb_archive_sources_v2.yaml	pipeline/processing_01/configs/pdb_archive_sources_v2.yaml	config_or_documentation	false	1792	7d5623874f33e94bfc376302394e5c2c052b3df02d196e143716143bd7d4ce2c
processing_1_pdb_source_audit/scripts/build_normalized_download_manifests.py	pipeline/processing_01/scripts/build_normalized_download_manifests.py	source	false	8568	5e6bc065e54cf9b23f8cab88daba24d926937bb6aefca814182439f2f2dba968
processing_1_pdb_source_audit/scripts/build_processing_1.py	pipeline/processing_01/scripts/build_processing_1.py	source	false	24451	ab1746eb055d396d69f27ba6479961b08b0bb73af4b9fe301389a5200d4ac26a
