source	path	exists	size_bytes	sha256
CROWN current metadata	E:\test\repo_push_tmp\analysis\dataset_comparison\comparable_metric_audit\external\crown\CROWN_metadata_2026-06.parquet	True	21476726	1c3cfe09241c9bd9f98c1507e655fc0b0739c66a30071c570d8c3ab4b6cadf90
CATH-Plus v4.4 domain list	E:\test\repo_push_tmp\analysis\dataset_comparison\comparable_metric_audit\external\cath\cath-domain-list-v4_4_0.txt	True	44606235	2f87544bb8844ff37ad1d9348dfe0a23a7c9e4837e0d207733935148e088cc81
PLINDER 2024-06/v2 annotation	E:\test\repo_push_tmp\analysis\dataset_comparison\comparable_metric_audit\external\plinder\annotation_table_2024-06_v2.parquet	True	1018256581	d7ff7a087b3d336859afd5e57775fa1a4e9a23c90a7bb4ccbb6a278540ae31e9
PLINDER 2024-04/v1 diagnostic annotation	E:\test\repo_push_tmp\analysis\dataset_comparison\comparable_metric_audit\external\plinder\annotation_table_2024-04_v1.parquet	True	992879429	23854bcb9bb86b0c3ac75cb5724dd7a1fd600990a37c784edbab1f54cbfa0a36
PLINDER v0.2.0 classifier	E:\test\repo_push_tmp\analysis\dataset_comparison\comparable_metric_audit\external\plinder\ligand_utils.py	True	54109	7b4854fc6ef0c2de62324cdce466afb9542ff2a85eab49ac1ee089037f94d623
PLINDER v0.2.0 artifact list	E:\test\repo_push_tmp\analysis\dataset_comparison\comparable_metric_audit\external\plinder\artifacts_badlist.csv	True	1721	50f2b7c1395e1e9638cad51e9b859617e64806d5fb88cf57dc9d294f4f86c4af
